id,title,date,views,text,tags
14779,Миллион уже на первом курсе: ИТМО повысил стипендии для победителей олимпиад и стобалльников,"26 Марта 2026, 19:28UTC+323520",23520,"В ИТМО подняли стипендии для талантливых абитуриентов ― теперь стобалльники по нескольким предметам и победители международных и всероссийских олимпиад школьников по профильным предметам при поступлении в университет на первом курсе будут получать 100 тысяч рублей в месяц. Среди других опций ― гарантированное место в общежитии в центре Петербурга, а также грант на переезд для иногородних абитуриентов. Как воспользоваться этими возможностями ― рассказываем в материале. Зона ИТМО на финале Всероссийской олимпиады школьников по информатике в 2026 году. Фото: vserosinf.ru Максимальную стипендию от ITMO FAMILY на первом курсе бакалавриата ИТМО смогут получить зачисленные на бюджет абитуриенты, которые сдали ЕГЭ на 100 баллов по двум и более предметам или стали победителями международных и всероссийских олимпиад школьников по профильным предметам (например, ВсОШ по информатике, математике, физике, химии и другим предметам). В 2026-м сумма выросла ― теперь это 100 тысяч рублей ежемесячно, то есть миллион уже за первый учебный год. Стипендиальный фонд формируется при поддержке Эндаумент-фонда ИТМО , выпускников и партнеров университета. На последующих курсах стипендия сохраняется, но ее размер будет зависеть уже от успехов в учебе и научной деятельности. Всего в бакалавриате ИТМО доступны более 20 стипендиальных программ, в том числе есть возможность получать выплаты от партнеров университета ― Яндекса, Сбера, ВК, Авито, ПАО «Газпром нефть» и многих других. Эти суммы могут достигать 40 тысяч в месяц без учета стипендии ITMO FAMILY. Это далеко не единственная мера поддержки ― уже несколько лет в ИТМО действует специальная программа для талантливых абитуриентов . Она рассчитана на школьников, сдавших ЕГЭ на 100 баллов по нескольким предметам или ставших победителями или призерами Всероссийской олимпиады школьников. Помимо повышенных стипендий, ее участники могут получить: грант на поездку в Петербург и общежитие в центре города для иногородних студентов; поддержку персонального менеджера по приему и консультации по карьерной траектории: до поступления можно лично встретиться с деканом выбранного факультета или руководителем образовательной программы, проконсультироваться с ответственным секретарем приемной комиссии, а также посетить лаборатории и корпуса университета; VIP-приглашения на ITMO Family Day ― масштабный фестиваль, который пройдет летом на берегу Финского залива. Поступить по программе можно на любое направление бакалавриата, которое соответствует профилю ЕГЭ или олимпиады. Среди них: информационные технологии, науки о жизни, физика, инженерия, экономика и инновации, междисциплинарные исследования. Все подробности о направлениях, полный список программ бакалавриата и учебные планы смотрите на сайте для абитуриентов ИТМО . Зона ИТМО на финале Всероссийской олимпиады школьников по информатике в 2026 году. Фото: vserosinf.ru Прием заявок на программу ведется до 25 июля — последнего дня подачи документов в бакалавриат. Чтобы участвовать, нужно: Заполнить анкету на сайте и указать в ней условия участия (результаты ЕГЭ или статус победителя / призера олимпиады). Обсудить дальнейшие шаги поступления и предоставления документов с менеджером. Он связывается с абитуриентом после подачи заявки и помогает с получением бонусов или гранта на поездку (при необходимости). Подать документы в ИТМО на бюджет на выбранное направление. Если все условия выполнены, после зачисления в университет студент автоматически включается в программу и начинает получать бонусы. К началу","Бакалавриат, Стипендии, Олимпиады, Главное, Поступление в ИТМО, ГлавноеBottom, ГлавноеMain2, Всерос, Всероссийская олимпиада школьников"
14727,Студент ИТМО Петр Гуменник вошел в топ-6 сильнейших фигуристов на Олимпиаде в Милане,"16 Февраля 2026, 13:49UTC+321750",21750,"На Зимних Олимпийских играх в Милане завершился турнир по мужскому одиночному фигурному катанию. Студент 4 курса факультета программной инженерии и компьютерной техники ИТМО Петр Гуменник по итогам двух прокатов набрал 271,21 балла и занял шестое место. Это лучший результат среди российских спортсменов с 2010 года. РИА Новости: Петр Гуменник В короткой программе Гуменник выступил под первым номером. Он исполнил каскад из четверного флипа и двойного тулупа, а также сделал лутц в четыре оборота и тройной аксель. Судьи оценили его прокат в 86,72 балла. РИА Новости: Петр Гуменник В произвольной программе фигурист вышел на лед тринадцатым и чисто исполнил четверной флип, четверной лутц, четверной риттбергер, четверной сальхов в каскаде с тройным тулупом, четверной сальхов в секвенции с двумя двойными акселями, тройной аксель и каскад из тройного лутца и двойного риттбергера. За прокат спортсмен получил 184,49 балла. РИА Новости: Петр Гуменник Петр Гуменник — чемпион России по фигурному катанию, а также серебряный и бронзовый призер национальных первенств. Кроме того, он двукратный победитель финала Гран-при России. Спортсмена активно поддерживали в стенах университета. Студенческий спортивный клуб ИТМО «Кронверкские барсы» организовал для болельщиков зону просмотра в коворкинге «Медиазона» на Ломоносова, 9. Однокурсники фигуриста следили за трансляциями выступлений и рисовали плакаты с мотивирующими лозунгами. Фото: ИТМО Фото: ИТМО Помимо учебы, Петр Гуменник периодически проводит мастер-классы в университетском клубе фигурного катания SkateMo . На льду комплекса «Хоккейный город» он показывает студентам, как выполнять сложные технические элементы. К началу","Олимпиада, Главное, Фигурное катание, Студенты ИТМО, ГлавноеBottom"
14716,"Во-первых, это красиво: 7 впечатляющих экспериментов из лабораторий ИТМО","6 Февраля 2026, 13:37UTC+321130",21130,"В ИТМО почти сотня научных центров, институтов и лабораторий. Каждый день там проводят исследования, с помощью которых в перспективе можно разрабатывать более эффективные подходы для диагностики и лечения опасных заболеваний, создавать устройства нового поколения, узнать больше о загадках Вселенной и многое другое. Это важная, трудная, но еще и очень красивая работа. Накануне Дня российской науки хотим напомнить об этом и показать как минимум семь впечатляющих фото из самого сердца лабораторий ИТМО. Поздравляем и восхищаемся всеми, кто делает эти удивительные эксперименты реальностью. Фото: Новый физтех, предоставлено Семеном Бачининым Мир полон магии для всех, кто не знает физику. А мы знаем, что физические лаборатории завораживают посильнее волшебства из книжек. Только посмотрите, как младший научный сотрудник физического факультета ИТМО Семен Бачинин проводит эксперимент по изучению оптоэлектронного отклика кристалла оксида меди. Результаты работы тоже впечатляют! Оксид меди, также известный как минерал тенорит, ― распространенный в природе полупроводник. Ученым ИТМО удалось создать на его основе искусственный оптический синапс. Выяснилось, что под воздействием лазерного излучения кристаллы тенорита демонстрируют поведение, схожее с работой биологических синапсов в головном мозге, — их реакция на излучение зависит от частоты лазерных импульсов, подобно тому, как синапсы реагируют на активные вещества-возбудители — нейромедиаторы. Технология может стать основой для нового типа процессоров, которые имитируют работу биологических нейронных сетей. С помощью метода в перспективе можно ускорить вычисления и обучение алгоритмов ИИ ― снизив при этом энергопотребление. Результаты исследования опубликованы в журнале ACS Applied Materials & Interfaces. Фото: Новый физтех ИТМО А этот завораживающий светящийся сине-зеленый шар ― колба с продуктами синтеза перовскитных неорганических квантовых точек. Это нанокристаллы с размерами 5-10 нанометров и рекордно высокой квантовой эффективностью (до 95-98%). Проще говоря, это означает, что до 95% энергии, падающей на квантовые точки в УФ-диапазоне, переизлучается в видимом диапазоне с минимальными потерями. Такие квантовые точки ― не просто красиво. Синтезируя новые перовскитные наноматериалы заданного состава и заданной формы, ученые смогут создавать миниатюрные лазерные источники света. А это, в свою очередь, открывает огромные возможности для квантовых технологий, разработки и внедрения продвинутых биосенсоров и датчиков нового поколения, гибкой электроники и многого другого. Активно работают в этом направлении ученые лаборатории гибридной нанофотоники и оптоэлектроники (PeroLab) ИТМО. Например, совсем недавно вместе с коллегами из МФТИ они создали самый маленький в мире лазер, излучающий свет в синем диапазоне. Его объем в 13 раз меньше, чем у длины волны излучаемого света, что открывает путь к созданию сверхчетких дисплеев нового поколения и компактных устройств для биомедицины. Авторы фото: Дмитрий Сбытов, Артемий Аверьянов, Кирилл Бороздин / НОЦ Инфохимии Авторы фото: Дмитрий Сбытов, Артемий Аверьянов, Кирилл Бороздин / НОЦ Инфохимии Яркие перспективы (в прямом смысле!) и у кристаллов органических флуорофоров (веществ которые поглощают и излучают свет) ― именно они изображены на фото. Эти кристаллы синтезировали сотрудники научно-образовательного центра (НОЦ) инфохимии ИТМО, чтобы использовать для спектральных исследований и создания новых материалов. Интересно, что снимок удалось сделать подручными средствами ― на телефон под УФ-освещением (с длиной волны 365 нанометров). С органическими флуорофорами работают в научной группе «Химия органических МольБайтов». В команде ― аспирант Дмитрий Сбытов, а также два студента второго курса бакалавриата ИТМО ― Артемий Аверьянов и Кирилл Бороздин, которые пришли в лабораторию на практику и уже участвуют в реальных научных исследованиях. Руководит группой доцент научно-образовательного центра инфохимии Антон Муравьев. Команда разрабатывает новый тип химических сенсоров ― флуоресцентные датчики на основе органических соединений, которые смогут быстро и точно определять наличие токсичных металлов (например, свинца, кадмия или ртути) в воде или почве. Тяжёлые металлы попадают в окружающую среду из разных источников ― промышленных выбросов, сельскохозяйственных стоков и бытовых отходов. Оказываясь в воде или почве, они накапливаются и вызывают тяжелые, часто необратимые, последствия для экосистем и здоровья человека и животных ― в том числе способны поражать жизненно важные органы, вызывать тяжелые заболевания. Предполагается, что сенсоры, над которыми работают в лаборатории ИТМО, словно «химические лампочки», будут загораться и предупреждать о присутствии опасных веществ. При этом, в отличие от существующих дорогих методов обнаружения, позволят проводить экспресс-анализ прямо на месте без сложного оборудования. Авторы фото: Павел Алексеевский, Алёна Кулакова / Новый физтех ИТМО А это уже другие кристаллы ― кристаллы металл-органического каркаса со сложной формулой: [Cd₂(TCPB)(azopy)₀.₅(DMF)]. Он состоит из узлов-атомов кадмия (Cd), соединенных органическими молекулами TCPB и azopy ― «строительными блоками» кристаллической структуры. Растворитель (DMF) заполняет поры при создании материала. Металл-органические каркасы (Metal-Organic Frameworks, MOF) — это особый класс гибридных материалов. Решетки MOF образованы ионами металлов , которые связаны между собой органическими лигандами (определенными атомами, ионами или молекулами) ― отсюда и составное название этих материалов. Для ученых MOF ― это фактически «платформа» для дизайна материалов с нуля. Подобно архитектору, специалист, работающий в этой области, может выбрать металл, спроектировать органическую «перекладину» нужной длины и функциональности, и получить материал со строго заданными свойствами для конкретной задачи. При этом таких задач, которые перспективно решать с помощью MOF, очень много. Например, эти материалы можно использовать при создании очень точных газоанализаторов ― чтобы вовремя обнаруживать утечку опасных газов в лаборатории или на производстве. Кроме того, большие перспективы связывают с их применением в оптических компонентах лазерных систем. С MOF работают на Новом физтехе ИТМО ― эту фотографию сделали ученые в лаборатории как раз во время исследования двулучепреломления таких материалов (двулучепреломление ― это оптический эффект, при котором свет, проходя через прозрачный анизотропный кристалл, разделяется на два луча с разной поляризацией и скоростью распространения). Снимок получили с помощью светового микроскопа ZEISS при увеличении 25× ― это позволило наблюдать форму и «чистоту» кристаллов в видимом диапазоне. Материалы с выраженным двулучепреломлением необходимы для создания ключевых элементов лазерных и фотонных систем: поляризаторов, модуляторов, оптических фильтров. Но у традиционных кристаллов есть ряд ограничений — узкий спектральный диапазон, сравнительно слабое двулучепреломление и внутренние дефекты. В своей работе ученые ИТМО предложили новый подход к созданию оптически анизотропных материалов (то есть таких, свойства которых зависят от направления воздействия) за счет целенаправленного изменения состава и структуры металл-органических каркасов. Такой подход позволяет тонко настраивать оптические свойства кристаллов и расширить возможности их применения в современной фотонике и лазерных технологиях. Исследование проведено на Новом физтехе ИТМО научной группой Валентина Миличко. Авторы ― научные сотрудники физического факультета Святослав Поваров и Алёна Кулакова. Работа выполнена при поддержке Российского научного фонда (грант № 23-73-01235) и федеральной программы академического лидерства «Приоритет 2030». Фото: Дмитрий Григорьев / ITMO NEWS Над методами, которые позволят создавать материалы с заданными свойствами, работают и физики, и химики. В научно-образовательном центре инфохимии ИТМО разработали еще один подход, который может помочь решать эти задачи. Ученые выяснили, как формируются градиентные структуры соединений кобальта при образовании осадков Лизеганга в агаровом геле ― результат эксперимента как раз на фото. В перспективе этот подход позволит быстро и дешево создавать новые материалы с заданными характеристиками. Их можно будет использовать в качестве подложек для клеток в электрохимических устройствах, термодатчиков и антимикробного покрытия. Подробнее об исследовании рассказываем в этой статье . Фото: Дмитрий Григорьев / ITMO NEWS Свои нюансы есть и при работе со стеклом. Это довольно хрупкий материал и, к тому же, чувствительный к перепадам температур. Повысить функциональность обычного стекла можно с помощью дополнительного металлического слоя ― это позволяет создавать элементы электроники, а также маркировать и декорировать стеклянные изделия. Но «улучшить» стекло не так-то просто. Ученые ИТМО решили проблему и разработали физико-математическую модель для прогнозирования параметров лазерного осаждения металлов на прозрачную подложку. Инструмент не только детально моделирует весь физический процесс, но и предсказывает с точностью до 90% его ключевые параметры. Это открывает возможности для контролируемого создания металлических покрытий микронного разрешения на стекле, например, нестираемых защитных меток и декоративных элементов. Результат работы исследователей ― как раз на фото выше! Подробнее о работе и ее результатах рассказываем в этой статье . Автор фото: Ольга Кущенко / Новый физтех ИТМО В научных лабораториях можно увидеть даже невидимое. И вот еще один потрясающий пример ― фото дифракции белого лазера на квазикристалле. Размер квазикристалла ― всего 120 микрометров (это примерно толщина человеческого волоса!) Излучение белого лазера (его называют суперконтинуум) проходит через эту структуру, далее происходит дифракция и в итоге мы и можем наблюдать изображение, которое удалось запечатлеть инженеру физического факультета ИТМО Ольге Кущенко. Квазикристаллы — это удивительные материалы, которые в свое время сломали все классические правила кристаллографии. Раньше считалось, что в твердых телах возможен только периодический порядок. Но ученый Дэн Шехтман обнаружил в сплаве алюминия и марганца структуру с запрещенной для кристаллов симметрией (ось пятого порядка, как у пятиугольника). За это открытие он в 2011 году получил Нобелевскую премию. В будущем использование квазикристаллов может открыть новые возможности в создании лазеров и сенсоров. Этой тематикой активно занимаются на Новом физтехе ИТМО. Например, исследователям уже удавалось впервые «поймать» свет в полимерном квазикристалле. К началу","День российской науки, Лаборатории, Эксперименты, Главное, Научные центры, ГлавноеBottom"
14692,Новый порядок приема в вузы: что изменится и как поступить в бакалавриат ИТМО в 2026-м,"20 Января 2026, 17:33UTC+363676",63676,"В 2026 году поступать в российские вузы придется по-новому: Министерство науки и высшего образования РФ официально опубликовало обновленный порядок приема . Изменятся способы подачи заявлений, правила для поступающих после колледжа и скорректируется порядок распределения квот на целевое обучение. Какие еще изменения ждать, что стоит особенно учесть, подавая документы в вузы, и как поступить в бакалавриат ИТМО в 2026-м без лишних нервов ― разбираемся вместе с приемной комиссией. Фото: ИТМО Содержание : Сроки и ключевые даты приемной кампании Как подавать документы: изменения в процедуре Как выбирать направления и расставлять приоритеты Как следить за списками поступающих Какие экзамены вузы принимают в 2026-м Как получить баллы за индивидуальные достижения Как пройти на бюджет без вступительных испытаний Что нужно знать о льготах в этом году Целевое обучение: ключевые изменения Платное обучение: как поступить и платить меньше Где следить за ходом приемной кампании В бакалавриате ИТМО 27 программ , которые соответствуют приоритетным направлениям научно-технического развития РФ: искусственный интеллект, фотоника, робототехника, биотехнологии и другие. Главная особенность обучения в университете ― тесная интеграция образовательных программ с индустрией. Программы реализуются в партнерстве с крупными технологическими компаниями России: Яндексом, Сбером, VK, ПАО «Газпром нефть» и многими другими. С первого курса студенты могут попасть на стажировку, получать дополнительные стипендии от компаний-партнеров, а успешным кандидатам предложение о работе приходит еще задолго до получения диплома . Сроки и ключевые даты приемной кампании Даты приемной кампании для абитуриентов бакалавриата в 2026 году останутся без изменений. Важно запомнить три ключевых дедлайна: С 20 июня до 25 июля : в эти сроки надо успеть подать заявления в вузы; 1 августа до 12:00 — ключевая дата для поступающих без вступительных испытаний, а также всех, кто претендует на места в пределах квот. До этого срока принимают заявления о согласии на зачисление; 5 августа до 12:00 — окончательный срок подачи согласия для всех, кто поступает по общему конкурсу (то есть по результатам ЕГЭ) на бюджетные места. Для абитуриентов, которые будут сдавать внутренние вступительные испытания в ИТМО, срок окончания приема документов наступает раньше — 15 июля . А тем, кто решил учиться по контракту, нужно успеть подать документы с 20 июня по 18 августа . Фото: ИТМО Как подавать документы: изменения в процедуре А вот процесс подачи документов изменится: возможность сделать это через личный кабинет университета федеральными правилами больше не предусмотрена. В 2026-м подать заявление в вузы можно будет только тремя способами: Через портал «Госуслуги» (единственный цифровой способ); Лично, обратившись в приемную комиссию университета; По почте заказным письмом с описью вложения. Пакет необходимых для поступления документов остался прежним: заявление, данные паспорта, данные аттестата с приложением, документы, подтверждающие льготы или индивидуальные достижения, цифровые фотографии. Оригинал аттестата не понадобится. Вместо него через «Госуслуги» или лично/через почту необходимо предоставить согласие на зачисление. Его можно подать в одно учебное учреждение на одно направление. Менять выбор до истечения сроков подачи документов можно, но не больше одного раза в два часа. Как выбирать направления и расставлять приоритеты В 2026 году сохраняется правило, установленное в 2025-м: абитуриент может подать заявление на 5 направлений подготовки внутри одного или 5 разных вузов. Система приоритетов, введенная с 2023 года, тоже осталась без изменений. В заявлении нужно будет расставить выбранные направления (всего до 5) в порядке убывания приоритета ― от большего к меньшему: первый приоритет ― напротив того, куда хотите поступить больше всего, остальные четыре ― запасные варианты. Важно : приоритеты работают в рамках одного вуза ― то есть в каждом университете их надо расставлять по новой. Если проходите на несколько программ в одном вузе, вас зачислят на ту, у которой приоритет выше. Приоритеты можно менять ― но только до окончания приема документов. Это можно сделать на «Госуслугах» или обратившись в приемную комиссию лично Фото: ИТМО Как следить за списками поступающих Как и в прошлом году, каждому абитуриенту, подавшему заявление, присвоят уникальный номер вместо СНИЛС. Номер можно будет узнать в личном кабинете на «Госуслугах» и именно по нему себя и можно будет отслеживать в списках. Списки поступающих с ранжированием по сумме баллов экзаменов будут публиковаться на сайте ИТМО для абитуриентов . Постоянно отслеживая списки, можно более точно оценить свои шансы пройти на желаемую программу. Чтобы помочь абитуриентам, в ИТМО каждый год публикуют и списки рекомендованных к зачислению ― эти списки начнут формироваться с 15 июля, так что еще до конца приема документов можно вовремя сориентироваться и по необходимости поменять приоритеты. Если абитуриент попадает на первые строчки списка рекомендованных к зачислению и в установленные сроки подает согласие на зачисление ― его гарантированно зачислят на бюджет. Если вас в списках рекомендованных нет ― не стоит сдаваться. Скорректируйте стратегию и рассмотрите похожие программы, где конкретно у вас шансов поступить больше. Какие экзамены вузы принимают в 2026-м ЕГЭ . В этом году вузы принимают результаты ЕГЭ с 2022 по 2026 год. Обязательным экзаменом для всех направлений подготовки остается русский язык. Второй обязательный предмет для большинства специальностей в ИТМО — профильная математика. Остальное ― предметы по выбору: еще в Первый неклассический можно поступить с результатами ЕГЭ по информатике, физике, химии, биологии и географии. Подробнее о том, с какими ЕГЭ можно поступить на самые популярные программы ИТМО, читайте в статье . Поступить в бакалавриат ИТМО можно не только по результатам ЕГЭ. Эта опция доступна: гражданам РФ со средним профессиональным образованием (СПО) ― проще говоря, тем, кто поступает в вуз после колледжей и техникумов; людям с инвалидностью; иностранным гражданам; гражданам Республики Беларусь или РФ, имеющим результаты централизованного тестирования (ЦТ); лицам, поступающим в рамках отдельной квоты. Внутренние вступительные испытания вуза . Выпускники учреждений среднего профильного образования (СПО) могут не сдавать ЕГЭ, а поступить в вуз, сдав внутренние экзамены. Но с этого года сделать это можно только тем, кто собирается в университет на направление, которое является продолжением его образования в СПО. Проще говоря, если в колледже вы учились на повара, поступить в вуз на ИТ-специальность без сдачи ЕГЭ уже не получится. Для поступающих в бакалавриат выпускников колледжей ИТМО подготовил список соответствия, в котором можно посмотреть сопоставление профессий СПО и программ высшего образования. Найти этот список можно будет в правилах приема. Важно : при поступлении в российские вузы абитуриенты смогут использовать результаты экзаменов, которые сдают в Республике Беларусь (централизованное тестирование и централизованный экзамен). Список всех дисциплин по разным направлениям и проходные баллы можно посмотреть на сайте ИТМО . Дополнительное вступительное испытание (ДВИ) ― творческий экзамен . В этом году в ИТМО впервые появится и новый вид вступительного испытания для направления «Дизайн» — рисунок и композиция. Помимо внутреннего экзамена, поступающим на это направление нужно будет предоставить результаты ЕГЭ по русскому языку, литературе или истории. Фото: ИТМО Как получить баллы за индивидуальные достижения Помимо результатов ЕГЭ, при подсчете суммы баллов учитываются индивидуальные достижения (ИД) абитуриента. Баллов, которые можно получить за ИД, не так много ― максимум 10. Но иногда именно они становятся решающими в конкурсе за желаемое место, поэтому рекомендуем не пренебрегать этой опцией и начать собирать эти баллы заранее. За какие достижения и сколько баллов можно получить в ИТМО ― рассказываем на сайте . Как пройти на бюджет без вступительных испытаний Эта опция по-прежнему доступна: победителями призерам Всероссийской олимпиады школьников (ВсОШ) и международных олимпиад (срок диплома — 4 года, подтверждение ЕГЭ не требуется); победителям и призерам олимпиад из перечня Российского совета олимпиад школьников (РСОШ) . Но в этом случае нужно подтвердить диплом олимпиады не менее 75 баллами по профильному ЕГЭ, учитываются аттестаты за 10 и 11 за последние 4 года. Профиль олимпиады должен соответствовать выбранному направлению подготовки. Уточнить специальности и соответствующие им направления олимпиад можно на сайте ИТМО для абитуриентов . Использовать право на поступление без вступительных экзаменов можно только в одном вузе на одну программу. ИТМО регулярно поддерживает талантливых абитуриентов и студентов. Для олимпиадников и стобалльников в университете работает специальная программа ITMO Priority . Среди ее бонусов ― повышенная стипендия: миллион рублей в год на первом курсе, общежитие в центре города, индивидуальные карьерные консультации и дополнительные менторы. Что нужно знать о льготах в этом году Логика перераспределения незаполненных квотных мест в 2026-м сохранится. Если такие места остаются незаполненными, они перераспределяются между другими абитуриентами тех же льготных категорий на этом направлении. Фото: ИТМО Целевое обучение: ключевые изменения Самые заметные изменения в обновленных правилах приема в вузы касаются именно целевого обучения. Если раньше университет просто выделял целевые места на направлении, то теперь каждое такое место будет закрепляться за конкретным заказчиком обучения. То есть в правилах приема теперь будет указано, например, не «5 целевых мест на программе», а «1 место от Компании 1» и «1 место от Компании 2». Найти заказчика на целевое обучение можно на портале «Работа России» . Организации сами публикуют предложения, их можно найти по номеру предложения или по названию направления подготовки и вуза. Податься на целевое обучение можно, заполнив заявку через «Госуслуги». А вот требования к абитуриентам, поступающим на целевое обучение, остаются прежними: Минимальный проходной балл, рекомендованный приемной комиссией, — 250 баллов ЕГЭ. За индивидуальные целевые достижения, которые проводятся предприятием-заказчиком в рамках профориентационной деятельности, поступающие могут получить до 5 баллов. Платное обучение: как поступить и платить меньше Основные отличия для поступающих по контракту — поздние сроки заключения договора и зачисления. Сама же процедура конкурса остается такой же: абитуриенты ранжируются в общем списке в соответствии с набранными баллами. Важно учесть, что в ИТМО установлен минимальный порог баллов для поступающих по контракту ― не меньше 60 баллов по каждому из ЕГЭ. После завершения основных этапов зачисления на бюджет с абитуриентами, которые хотят поступить на платное и прошли по конкурсу, заключаются договоры. Единый приказ о зачислении абитуриентов на платные места в ИТМО выйдет 20 августа . Платить за обучение можно меньше, если взять образовательный кредит с господдержкой ― его выдают по льготной ставке, всего 3%. Во время обучения и 9 месяцев после получения диплома студент платит только проценты. Это небольшая сумма: на первых курсах ежемесячный платеж сопоставим со стоимостью чашки кофе или подписки на популярные сервисы. Всю оставшуюся сумму можно выплатить в течение 15 лет. Если студент успешно закрывает сессии, он может перевестись с платного на бюджет. В таком случае платить банку за весь период обучения не придется ― останется «закрыть» только годы обучения на коммерции. Использованная сумма выплачивается по тому же льготному графику. Где следить за ходом приемной кампании Вся актуальная информация о программах, расписание дней открытых дверей и важные даты публикуется на официальном сайте ИТМО для абитуриентов . За ходом приемной кампании также удобно следить в социальных сетях — в группе ВКонтакте и Telegram-канале . И наконец, задать вопросы про программы, правила приема и способы поступления комиссии можно лично: по телефону + 7 (812) 480-0-480 или в любое удобное время заглянуть в главный корпус ИТМО по адресу: Санкт-Петербург, Кронверкский проспект, 49 ― сотрудники готовы проконсультировать в будние дни с 10:00 до 18:00. К началу","Бакалавриат, Поступление, Главное, Приемная кампания, ГлавноеMain1, ГлавноеTop"
